source,exercise_id,exercise_name,equipment,body_part,frame_idx,form_label,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,torso_lean_angle,elbow_symmetry_delta,knee_symmetry_delta,avg_visibility
exercisedb,3eGE2JC,dumbbell front raise,dumbbell,shoulders,10,,168.56596934514872,42.53161349519174,15.805119234551672,1.4180834273346796,172.86591880970204,172.78095995948757,175.3992330978287,167.09032166429978,2.9537935378695472,126.03435584995697,8.30891143352892,0.8705523411432902
exercisedb,3eGE2JC,dumbbell front raise,dumbbell,shoulders,11,,173.9351667844161,22.57244242640767,17.070275223856218,0.5585002936594806,176.48517898110026,170.40013852510808,177.71375085169066,169.98895660952076,4.063451229432748,151.36272435800845,7.7247942421699065,0.9013291299343109
exercisedb,4dF3maG,dumbbell one arm hammer preacher curl,dumbbell,upper arms,0,,142.3459774063017,145.63532163329438,36.0810459737523,44.5895340204511,112.50715183709133,106.25600503163025,106.81773254702149,103.36626127112044,7.619832126518515,3.2893442269926823,3.4514712759010564,0.76298729951183
exercisedb,4dF3maG,dumbbell one arm hammer preacher curl,dumbbell,upper arms,3,,55.360906245095684,64.3735154874358,33.65925289308128,46.98228317056058,110.59423070636555,107.76244133495771,107.90701914178608,105.2902936427445,7.503345770494069,9.012609242340112,2.6167254990415785,0.7400707757721344
exercisedb,4dF3maG,dumbbell one arm hammer preacher curl,dumbbell,upper arms,4,,59.757538388049014,58.821456392682364,37.557919929900834,47.60500716563918,105.37957275915511,102.60718705587576,100.56189843824951,101.2008012449827,8.912595553554397,0.9360819953666493,0.638902806733185,0.787045281380415
exercisedb,4dF3maG,dumbbell one arm hammer preacher curl,dumbbell,upper arms,5,,57.89080560066967,60.42886279138237,41.10157561378601,48.8238066323059,98.7507385045374,100.30747711405417,99.3602347696686,99.22825925722427,10.01440234583971,2.538057190712699,0.1319755124443276,0.7873651050031185
exercisedb,4dF3maG,dumbbell one arm hammer preacher curl,dumbbell,upper arms,6,,65.13852596146835,62.71694939664906,44.60491654622365,50.16444979126872,99.84702174000726,98.81897751559517,100.92960021922728,99.12021110446265,9.893866821476273,2.421576564819283,1.8093891147646275,0.8118834495544434
exercisedb,4dF3maG,dumbbell one arm hammer preacher curl,dumbbell,upper arms,7,,59.36311593236473,60.155841421134134,42.23878080423669,48.14192638883,98.39871772640196,100.77844645688344,100.01302952540983,99.71007398310886,10.196379566978438,0.7927254887694062,0.3029555423009782,0.775797446568807
exercisedb,4dF3maG,dumbbell one arm hammer preacher curl,dumbbell,upper arms,8,,59.757538388049014,58.821456392682364,37.557919929900834,47.60500716563918,105.37957275915511,102.60718705587576,100.56189843824951,101.2008012449827,8.912595553554397,0.9360819953666493,0.638902806733185,0.787045281380415
exercisedb,4dF3maG,dumbbell one arm hammer preacher curl,dumbbell,upper arms,11,,141.86261904117427,144.21292760961688,36.34821652017085,44.161700318024685,105.7060613321586,106.11880324198928,102.72991905955068,104.58670037269042,8.565375360380338,2.350308568442614,1.8567813131397344,0.7541211781402429
exercisedb,6cKQC5E,dumbbell one arm upright row,dumbbell,shoulders,0,,161.8806111863085,158.99570172004968,14.03309083327806,4.896208897064148,173.78425565492603,172.12381926794035,172.92790721447184,174.23068469619616,2.7518202404486836,2.8849094662588186,1.3027774817243198,0.8482325077056885
exercisedb,6cKQC5E,dumbbell one arm upright row,dumbbell,shoulders,1,,147.6000552960166,14.70365402652244,20.03010081410597,51.28650881938667,175.1169858856213,170.30210671202767,173.45207715028957,172.0749932139985,4.2182880597214325,132.89640126949416,1.3770839362910579,0.8487375875314077
